Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
93,Edinson Cavani,uy URU,FW,Manchester Utd,33,1987,26,13,"1,375",15.3,10,3,10,0,0,4,0,0.65,0.2,0.85,0.65,0.85,7.4,7.4,2.7,10.1,0.48,0.17,0.66,0.48,0.66,Matches
94,Dani Ceballos,es ESP,MF,Arsenal,23,1996,25,17,"1,615",17.9,0,3,0,0,0,4,0,0,0.17,0.17,0,0.17,0.7,0.7,2.9,3.6,0.04,0.16,0.2,0.04,0.2,Matches
95,Calum Chambers,eng ENG,DF,Arsenal,25,1995,10,8,753,8.4,0,2,0,0,0,0,0,0,0.24,0.24,0,0.24,0.6,0.6,1.1,1.7,0.07,0.14,0.21,0.07,0.21,Matches
96,Ben Chilwell,eng ENG,DF,Chelsea,23,1996,27,27,"2,286",25.4,3,5,3,0,0,3,0,0.12,0.2,0.31,0.12,0.31,2.4,2.4,2.8,5.3,0.1,0.11,0.21,0.1,0.21,Matches
97,Hamza Choudhury,eng ENG,MF,Leicester City,22,1997,10,4,316,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.11,0,0.11,0.11,0.11,Matches
98,Andreas Christensen,dk DEN,DF,Chelsea,24,1996,17,15,"1,371",15.2,0,0,0,0,0,2,1,0,0,0,0,0,0.1,0.1,0.4,0.5,0.01,0.02,0.03,0.01,0.03,Matches
99,Carney Chukwuemeka,eng ENG,"FW,MF",Aston Villa,16,2004,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.29,0,0.29,0.29,0.29,Matches
100,Ciaran Clark,ie IRL,DF,Newcastle Utd,30,1989,22,21,"1,891",21,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,0.3,0.3,0.1,0.4,0.02,0,0.02,0.02,0.02,Matches
101,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29,1991,13,13,"1,145",12.7,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
102,Conor Coady,eng ENG,DF,Wolves,27,1993,37,37,"3,303",36.7,1,0,1,0,0,5,0,0.03,0,0.03,0.03,0.03,1.3,1.3,0.1,1.4,0.03,0,0.04,0.03,0.04,Matches
103,Séamus Coleman,ie IRL,"DF,MF",Everton,31,1988,25,18,"1,613",17.9,0,3,0,0,0,0,0,0,0.17,0.17,0,0.17,1.2,1.2,1.9,3.1,0.06,0.11,0.17,0.06,0.17,Matches
104,Aaron Connolly,ie IRL,FW,Brighton,20,2000,17,9,791,8.8,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,3.5,3.5,0.2,3.7,0.4,0.02,0.42,0.4,0.42,Matches
105,Liam Cooper,sco SCO,DF,Leeds United,28,1991,25,25,"2,185",24.3,1,0,1,0,0,4,1,0.04,0,0.04,0.04,0.04,1.3,1.3,0,1.3,0.05,0,0.05,0.05,0.05,Matches
106,Theo Corbeanu,ca CAN,FW,Wolves,18,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.9,0.9,0,0.9,Matches
107,Jack Cork,eng ENG,MF,Burnley,31,1989,16,15,"1,350",15,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.6,0.8,0.02,0.04,0.06,0.02,0.06,Matches
108,Hélder Costa,pt POR,"MF,FW",Leeds United,26,1994,22,13,"1,156",12.8,3,3,3,0,0,0,0,0.23,0.23,0.47,0.23,0.47,2,2,0.9,2.9,0.16,0.07,0.23,0.16,0.23,Matches
109,Vladimír Coufal,cz CZE,DF,West Ham,27,1992,34,34,"3,054",33.9,0,7,0,0,0,3,0,0,0.21,0.21,0,0.21,1.2,1.2,4.6,5.8,0.04,0.14,0.17,0.04,0.17,Matches
110,Aaron Cresswell,eng ENG,DF,West Ham,30,1989,36,36,"3,170",35.2,0,8,0,0,0,3,0,0,0.23,0.23,0,0.23,0.9,0.9,5.9,6.9,0.03,0.17,0.19,0.03,0.19,Matches
111,Patrick Cutrone,it ITA,"FW,MF",Wolves,22,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.61,0,0.61,0.61,0.61,Matches
112,Stuart Dallas,nir NIR,"DF,MF",Leeds United,29,1991,38,38,"3,409",37.9,8,2,8,0,0,7,0,0.21,0.05,0.26,0.21,0.26,4.6,4.6,2.1,6.7,0.12,0.05,0.18,0.12,0.18,Matches
113,Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15,15,"1,350",15,1,0,1,0,0,1,0,0.07,0,0.07,0.07,0.07,0.3,0.3,0,0.4,0.02,0,0.02,0.02,0.02,Matches
114,Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,25,"2,250",25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Ben Davies,wal WAL,DF,Tottenham,27,1993,20,14,"1,346",15,0,1,0,0,0,1,0,0,0.07,0.07,0,0.07,0.2,0.2,0.6,0.9,0.01,0.04,0.06,0.01,0.06,Matches
116,Tom Davies,eng ENG,MF,Everton,22,1998,25,17,"1,423",15.8,0,1,0,0,0,3,0,0,0.06,0.06,0,0.06,0.2,0.2,1,1.1,0.01,0.06,0.07,0.01,0.07,Matches
117,Keinan Davis,eng ENG,"FW,MF",Aston Villa,22,1998,15,1,277,3.1,1,1,1,0,0,0,0,0.32,0.32,0.65,0.32,0.65,1,1,0.5,1.5,0.34,0.16,0.49,0.34,0.49,Matches
118,Leif Davis,eng ENG,DF,Leeds United,20,2000,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
119,Craig Dawson,eng ENG,DF,West Ham,30,1990,22,22,"1,925",21.4,3,0,3,0,0,5,1,0.14,0,0.14,0.14,0.14,1.7,1.7,0,1.7,0.08,0,0.08,0.08,0.08,Matches
